loss,acc
1.879923267150992672e+00,4.462686667580212929e-01
8.392391449479914556e-01,7.776119326477619609e-01
4.717480560292058867e-01,8.552238763268313892e-01
3.685767241378328785e-01,8.985074580605350025e-01
2.948398145277108529e-01,9.059701392899698336e-01
2.562696117518553085e-01,9.298507535635535115e-01
2.246893212866427347e-01,9.343283567855606986e-01
1.921040907279769061e-01,9.462686599190555103e-01
1.732327954760238264e-01,9.582089443704975285e-01
1.430320853172843132e-01,9.701492564002079932e-01
